Id,Label,Popularity
Sonali Bendre,Sonali Bendre,14.272
Poonam Jhawer,Poonam Jhawer,0.98
Umesh Jagtap,Umesh Jagtap,2.841
Regina Cassandra,Regina Cassandra,11.838
Sundeep Kishan,Sundeep Kishan,2.994
Mouni Roy,Mouni Roy,17.707
Chitrangada Chakraborty,Chitrangada Chakraborty,3.744
Aniruddha Dave,Aniruddha Dave,0.5
Yuvraj Siddharth Singh,Yuvraj Siddharth Singh,1.38
Kunal Vijaykar,Kunal Vijaykar,0.6
Madhurima Banerjee,Madhurima Banerjee,9.015
Pradip Mukherjee,Pradip Mukherjee,2.801
Sudip Mukherjee,Sudip Mukherjee,4.246
Ravish Desai,Ravish Desai,0.6
Vishwas Kamble,Vishwas Kamble,0.6
Hansika Motwani,Hansika Motwani,12.88
Rajiv Kapoor,Rajiv Kapoor,3.501
Meghna Naidu,Meghna Naidu,1.357
Prathamesh Parab,Prathamesh Parab,2.05
Kritika Sachdeva,Kritika Sachdeva,0.6
Reema Shaikh,Reema Shaikh,0.5
Sunaina,Sunaina,2.677
Nitin Sathyaa,Nitin Sathyaa,0.5
Joy Mathew,Joy Mathew,2.532
Ruby Barnhill,Ruby Barnhill,3.596
Srinivas Avasarala,Srinivas Avasarala,6.29
Tony Ciccone,Tony Ciccone,0.6
Jasmine Jassi,Jasmine Jassi,0.5
Shruti Marathe,Shruti Marathe,5.156
Sangeeth Shoban,Sangeeth Shoban,0.5
Parth Bhalerao,Parth Bhalerao,2.708
Kusumit Sana,Kusumit Sana,0.6
Jimi the Quiff,Jimi the Quiff,0.5
Savita Malpekar,Savita Malpekar,1.166
Naveen Kasturia,Naveen Kasturia,6.705
Naveen Kumar,Naveen Kumar,0.6
Malvika Tiwari,Malvika Tiwari,0.98
Sumeet Sandhu,Sumeet Sandhu,0.5
Jigna Bhardwaj,Jigna Bhardwaj,0.6
Rajeev Gupta,Rajeev Gupta,0.6
Vaisnavi RP,Vaisnavi RP,0.5
Beatrice Ordeix,Beatrice Ordeix,1.708
Vinod Khanna,Vinod Khanna,9.285
Samruddhi Shukla,Samruddhi Shukla,0.5
Sahil Vaid,Sahil Vaid,5.443
Gautami Kapoor,Gautami Kapoor,2.908
Ragini Khanna,Ragini Khanna,1.4
Zoya Hussain,Zoya Hussain,2.628
Sreekumar,Sreekumar,0.6
Sana Saeed,Sana Saeed,6.119
Anu Sithara,Anu Sithara,7.071
Kaizaad Kotwal,Kaizaad Kotwal,3.044
Nandini Vaid,Nandini Vaid,0.6
Kriti Malhotra,Kriti Malhotra,1.385
Vandana Gupte,Vandana Gupte,5.808
Madhuri Sanjeev,Madhuri Sanjeev,0.6
Sanjay Suri,Sanjay Suri,4.2
Jogi,Jogi,0.6
Keeya Khanna,Keeya Khanna,1.4
Sheetal Singh,Sheetal Singh,0.6
Tushar Pandey,Tushar Pandey,9.37
Waheeda Rehman,Waheeda Rehman,7.529
Jhansi,Jhansi,2.178
Paresh Rawal,Paresh Rawal,14.941
Gopalkrishna Deshpande,Gopalkrishna Deshpande,1.008
Ali Zafar,Ali Zafar,14.538
Tony Luke,Tony Luke,1.58
Veena Malik,Veena Malik,6.068
Maya Kay,Maya Kay,0.6
Lakha Lakhwinder Singh,Lakha Lakhwinder Singh,0.6
Sonia Bindra,Sonia Bindra,0.972
Rohit Mittal,Rohit Mittal,0.98
Raghuvaran,Raghuvaran,10.141
Devyani Shorey,Devyani Shorey,0.5
Anand Deverakonda,Anand Deverakonda,2.364
Ajit Vachani,Ajit Vachani,1.494
Sandeep Khare,Sandeep Khare,0.6
Ihana Dhillon,Ihana Dhillon,2.465
Kushal Badrike,Kushal Badrike,0.972
Sakha Kalyani,Sakha Kalyani,0.828
Ravi Goswami,Ravi Goswami,0.98
Vaibhav Talwar,Vaibhav Talwar,0.84
Inder Bajwa,Inder Bajwa,0.6
Rajendra Sethi,Rajendra Sethi,1.751
Havarasu,Havarasu,0.5
Satarupa Das,Satarupa Das,0.6
Divya Sripada,Divya Sripada,3.342
Shamim Basharat,Shamim Basharat,0.6
Vijay Kenkre,Vijay Kenkre,0.6
Kamal Desai,Kamal Desai,0.5
Arif Zakaria,Arif Zakaria,6.516
Anjali Patil,Anjali Patil,2.787
Naseeruddin Shah,Naseeruddin Shah,7.015
Pratik Gandhi,Pratik Gandhi,3.579
Santosh Juvekar,Santosh Juvekar,2.127
Sujata Bakshi,Sujata Bakshi,0.6
Aryan Preet,Aryan Preet,0.5
Alex Arsenault,Alex Arsenault,4.84
Sushma Bakshi,Sushma Bakshi,0.5
Parzan Dastur,Parzan Dastur,1.597
Parvathy Omanakuttan,Parvathy Omanakuttan,2.786
Moin Khan,Moin Khan,0.6
Dhruv Ganesh,Dhruv Ganesh,4.772
Raviza Chauhan,Raviza Chauhan,4.458
Deepak Tijori,Deepak Tijori,6.23
Santhosh Prathap,Santhosh Prathap,4.074
Abhay Kulkarni,Abhay Kulkarni,0.6
Bhalchandra Kadam,Bhalchandra Kadam,0.6
Nikitin Dheer,Nikitin Dheer,14.774
Richa Chadda,Richa Chadda,0.5
Satya Dev,Satya Dev,0.6
Saqib Ayub,Saqib Ayub,1.286
Utpal Dutt,Utpal Dutt,3.087
Monisha Ram,Monisha Ram,0.6
Manjot Singh,Manjot Singh,6.135
Simon Kunz,Simon Kunz,8.891
Bhagyashree Pandit,Bhagyashree Pandit,0.6
Irshad,Irshad,0.6
Gurinder Makna,Gurinder Makna,1.35
Pervin Dastur,Pervin Dastur,0.6
Gulnaaz Ansari,Gulnaaz Ansari,0.6
Art Malik,Art Malik,19.864
Niranjani,Niranjani,0.871
Jasleen Singh,Jasleen Singh,0.6
