x,y,cluster_labels,movie_titles,overview,production_countries,release_date,Doc_ID,centroid,x_centroid,y_centroid,distance_to_centroid,topic_strings
59.079163,-20.980387,44,Hasan Minhaj: Homecoming King,"Comic Hasan Minhaj of ""The Daily Show"" shares personal stories about racism, immigrant parents, prom night horrors and more in this stand-up special.",['United States of America'],2017-05-23,4386,44_centroid,65.43085,-19.475822,6.5274506,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
68.293365,-14.996894,44,Tracy Morgan: Staying Alive,"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side.",[],2017-05-16,4401,44_centroid,65.43085,-19.475822,5.3155255,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
68.69083,-16.51182,44,Kevin Hart: What Now?,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",['United States of America'],2016-10-14,4415,44_centroid,65.43085,-19.475822,4.4059935,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
52.32718,-23.608063,44,Vir Das: Abroad Understanding,"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi.","['United States of America', 'India']",2017-04-25,4416,44_centroid,65.43085,-19.475822,13.7397785,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
64.659515,-17.328323,44,Rodney King,"25 years ago, four LAPD officers were acquitted in a state court for beating King, sparking three days of rioting that left 53 people dead. Now, around the anniversary, this Spike Lee-produced one-man show (Roger Guenver Smith) will be streaming on Netflix. A complex, semi-tragic figure, King drowned in 2012. His life was rarely smooth, or simple – its telling makes for a sober, moving watch.",['United States of America'],2017-04-28,4422,44_centroid,65.43085,-19.475822,2.2818205,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
68.99429,-6.7258215,44,Lucas Brothers: On Drugs,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.",['United States of America'],2017-04-18,4435,44_centroid,65.43085,-19.475822,13.2386055,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
67.48255,-31.404497,44,Dave Chappelle: Sticks & Stones,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in this defiant stand-up special.",['United States of America'],2019-08-26,4444,44_centroid,65.43085,-19.475822,12.103832,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
76.10676,-15.736012,44,Mike Birbiglia: Thank God for Jokes,"Mike Birbiglia declares that a joke should never end with ""I’m joking."" In his all-new comedy, Birbiglia tiptoes hilariously through the minefield that is modern-day joke-telling. Join Mike as he learns that the same jokes that elicit laughter have the power to produce tears, rage, and a whole lot of getting yelled at. Ultimately it's a show that asks, “How far should we go for the laugh?”",['United States of America'],2017-02-28,4464,44_centroid,65.43085,-19.475822,11.3119955,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
66.85317,-22.756971,44,Bill Burr: Walk Your Way Out,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.",['United States of America'],2017-01-31,4497,44_centroid,65.43085,-19.475822,3.5761635,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
60.19713,-24.452494,44,Daniel Sosa: Sosafado,His limitless imagination and effortless transformations add up to a night of unpredictable character-driven comedy.,['Mexico'],2017-02-03,4499,44_centroid,65.43085,-19.475822,7.2221236,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
71.158005,-22.644476,44,David Brent: Life on the Road,"A camera crew catches up with David Brent, the former star of the fictional British series, ""The Office"" as he now fancies himself a rockstar on the road.",['United Kingdom'],2016-08-19,4515,44_centroid,65.43085,-19.475822,6.5452805,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
73.13582,-32.05445,44,Gad Gone Wild,French comic Gad Elmaleh regales a Montreal crowd with tales of awkward mix-ups and baffling customs he's encountered since moving to the U.S.,['France'],2017-01-24,4518,44_centroid,65.43085,-19.475822,14.75088,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
64.9524,-20.789259,44,Jim Gaffigan: Cinco,America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.,['United States of America'],2017-01-10,4527,44_centroid,65.43085,-19.475822,1.3978652,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
67.700294,-32.13115,44,Neal Brennan: 3 Mics,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan.",['United States of America'],2017-01-17,4528,44_centroid,65.43085,-19.475822,12.8572035,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
61.521866,-24.42656,44,Reggie Watts: Spatial,"The comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures.",['United States of America'],2016-12-06,4549,44_centroid,65.43085,-19.475822,6.307926,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
73.25723,-9.433081,44,Garfunkel and Oates: Trying to be Special,"Garkfunkel and Oates: Trying to Be Special is the first special by the musical comedy duo of Kate Micucci and Riki Lindhome. The pair filmed the special at the Neptune Theatre in Seattle, and it features songs, comedy, and a new Garfunkel and Oates music video.",['United States of America'],2016-05-05,4557,44_centroid,65.43085,-19.475822,12.732203,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
67.93662,-19.247831,44,Asperger's Are Us,"For the members of the comedy troupe Asperger’s Are Us, it’s easier to associate with a faceless audience than with their own families. No matter who the crowd, best friends Noah, New Michael, Jack and Ethan have one simple mantra: “We would much rather the audience appreciate us as comedians than people who have overcome adversity.”  In this coming-of-age heartfelt documentary, this band of brothers finds themselves at a crossroad. With real life pulling them apart, they decide to plan one ambitious farewell show before they all go their separate ways. People with Asperger’s don’t deal well with uncertainty, and this is the most uncertain time in their lives.",['United States of America'],2016-11-11,4569,44_centroid,65.43085,-19.475822,2.5161262,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
71.82061,-17.76938,44,Michael Che Matters,"""SNL"" star Michael Che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in Brooklyn.",['United States of America'],2016-11-25,4580,44_centroid,65.43085,-19.475822,6.613699,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
71.61808,-18.661516,44,Donald Glover: Weirdo,"Fearlessly funny stand-up comic and sitcom star Donald Glover puts on a live show in New York, confessing his love for Cocoa Puffs and Toys ""R"" Us.",['United States of America'],2012-01-18,4592,44_centroid,65.43085,-19.475822,6.2405887,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
67.12398,-21.46892,44,Richard Pryor: Live in Concert,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",['United States of America'],1979-01-26,4593,44_centroid,65.43085,-19.475822,2.6151726,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
71.75426,-17.36975,44,Colin Quinn: The New York Story,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality.",['United States of America'],2016-11-18,4595,44_centroid,65.43085,-19.475822,6.6649127,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
62.17707,-23.194908,44,"Dana Carvey: Straight White Male, 60",Emmy-winning comedian Dana Carvey blends pitch-perfect tales on big personalities with so-true-it-hurts stories from his life as a dad of millennials.,['United States of America'],2016-11-04,4602,44_centroid,65.43085,-19.475822,4.941524,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
62.97113,-26.095665,44,Norman Lear: Just Another Version of You,"Arguably the most influential creator, writer, and producer in the history of television, Norman Lear brought primetime into step with the times. Using comedy and indelible characters, his legendary 1970s shows such as All In the Family, Maude, Good Times, and The Jeffersons, boldly cracked open dialogue and shifted the national consciousness, injecting enlightened humanism into sociopolitical debates on race, class, creed, and feminism.",[],2016-01-21,4603,44_centroid,65.43085,-19.475822,7.062048,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
61.26296,-25.368813,44,Russell Peters: Almost Famous,"The comic comes home to Toronto to sound off on cultural quirks, furniture building and bathroom visits, revelling in all things ridiculously human.",['United States of America'],2016-10-07,4629,44_centroid,65.43085,-19.475822,7.217938,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
